Unnamed: 0,SizeRank,RegionName,StateName,State,City,Metro,CountyName,Percent Change,ZHVF 1-Year Forecast (%),Mean Income,luxury_business_count
1039,1096,40214,KY,KY,Louisville,"Louisville/Jefferson County, KY-IN",Jefferson County,5.612933590265119,3.3,34393.818181818184,0
1040,1097,32164,FL,FL,Palm Coast,"Deltona-Daytona Beach-Ormond Beach, FL",Flagler County,1.2321090443801177,4.1,43024.72727272727,0
1041,1098,85029,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-3.089525642028809,5.8,41808.27272727273,0
1042,1099,68516,NE,NE,Lincoln,"Lincoln, NE",Lancaster County,8.125832417734667,2.7,54506.454545454544,0
1044,1101,37087,TN,TN,Lebanon,"Nashville-Davidson--Murfreesboro--Franklin, TN",Wilson County,1.9933224472750608,4.0,44690.63636363636,0
1045,1102,28210,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,0.6005976449203181,5.1,68924.36363636363,0
1046,1103,85295,AZ,AZ,Gilbert,"Phoenix-Mesa-Chandler, AZ",Maricopa County,0.8811451509476419,5.3,70939.81818181818,0
1047,1104,84081,UT,UT,West Jordan,"Salt Lake City, UT",Salt Lake County,4.597297228448113,3.8,68222.72727272728,0
1048,1105,92009,CA,CA,Carlsbad,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,4.858643131520714,5.0,90711.54545454546,0
1050,1107,60645,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,9.29532076001706,2.3,53473.72727272727,0
1052,1109,59102,MT,MT,Billings,"Billings, MT",Yellowstone County,1.6892988382543106,4.7,45510.72727272727,0
1053,1110,55337,MN,MN,Burnsville,"Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County,-1.080002497288412,2.0,55513.27272727273,0
1054,1111,94546,CA,CA,Castro Valley,"San Francisco-Oakland-Berkeley, CA",Alameda County,0.3016605614516958,1.2,67166.54545454546,0
1055,1112,95843,CA,CA,Antelope,"Sacramento-Roseville-Folsom, CA",Sacramento County,-0.9737310665161528,2.1,61709.454545454544,0
