,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Percent Change
5876,71875,7691,32222,zip,FL,FL,Jacksonville,"Jacksonville, FL",Duval County,2.5880656232497388
5877,90756,7693,75203,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,7.989224439857477
5880,82196,7699,55344,zip,MN,MN,Eden Prairie,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,2.966218122465343
5881,97492,7702,93950,zip,CA,CA,Pacific Grove,"Salinas, CA",Monterey County,5.111774566071552
5882,72046,7702,32534,zip,FL,FL,Pensacola,"Pensacola-Ferry Pass-Brent, FL",Escambia County,-2.1717884624399666
5883,97749,7706,94542,zip,CA,CA,Hayward,"San Francisco-Oakland-Berkeley, CA",Alameda County,-4.79453032365069
5884,78948,7712,48072,zip,MI,MI,Berkley,"Detroit-Warren-Dearborn, MI",Oakland County,8.334204898556147
5889,73911,7722,36527,zip,AL,AL,Spanish Fort,"Daphne-Fairhope-Foley, AL",Baldwin County,-1.4225342278878899
5890,78914,7723,48030,zip,MI,MI,Hazel Park,"Detroit-Warren-Dearborn, MI",Oakland County,5.146319478716645
5891,72628,7724,33469,zip,FL,FL,Tequesta,"Port St. Lucie, FL",Martin County,6.076751115026199
5892,72015,7725,32459,zip,FL,FL,Santa Rosa Beach,"Crestview-Fort Walton Beach-Destin, FL",Walton County,-4.584939778059419
5893,66815,7727,21205,zip,MD,MD,Baltimore,"Baltimore-Columbia-Towson, MD",Baltimore City,11.077510832695637
5896,65766,7732,19096,zip,PA,PA,Wynnewood,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,15.309923324375715
5897,93357,7735,80305,zip,CO,CO,Boulder,"Boulder, CO",Boulder County,4.9937736281406675
5901,90767,7740,75215,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,-0.5141152201627975
5904,100078,7745,99037,zip,WA,WA,Spokane Valley,"Spokane-Spokane Valley, WA",Spokane County,-4.581219713096767
5907,82263,7749,55413,zip,MN,MN,Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI",Hennepin County,3.214649688188521
5908,88033,7750,68503,zip,NE,NE,Lincoln,"Lincoln, NE",Lancaster County,6.406469096125887
5910,87877,7753,68131,zip,NE,NE,Omaha,"Omaha-Council Bluffs, NE-IA",Douglas County,11.953785760409568
5914,72309,7763,32931,zip,FL,FL,Cocoa Beach,"Palm Bay-Melbourne-Titusville, FL",Brevard County,7.479925683093734
5916,79080,7766,48225,zip,MI,MI,Harper Woods,"Detroit-Warren-Dearborn, MI",Wayne County,3.6109178872537777
5923,72345,7787,33004,zip,FL,FL,Dania Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,5.765614973369021
5924,84270,7787,59937,zip,MT,MT,Whitefish,"Kalispell, MT",Flathead County,8.085494578747147
5925,66754,7789,21054,zip,MD,MD,Gambrills,"Baltimore-Columbia-Towson, MD",Anne Arundel County,7.657021808564338
5929,95834,7800,89138,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,-0.7786116973800346
5931,92660,7807,78751,zip,TX,TX,Austin,"Austin-Round Rock-Georgetown, TX",Travis County,-1.2195471817439696
5933,72373,7812,33035,zip,FL,FL,Homestead,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,4.23674116112881
5937,67773,7820,23605,zip,VA,VA,Newport News,"Virginia Beach-Norfolk-Newport News, VA-NC",Newport News City,-4.390966673238025
5940,80282,7826,50311,zip,IA,IA,Des Moines,"Des Moines-West Des Moines, IA",Polk County,6.017365455315545
5943,89965,7833,73142,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Oklahoma County,-0.4303198424396939
5945,90658,7838,75057,zip,TX,TX,Lewisville,"Dallas-Fort Worth-Arlington, TX",Denton County,1.0919967739610137
5946,61892,7842,10606,zip,NY,NY,White Plains,"New York-Newark-Jersey City, NY-NJ-PA",Westchester County,-1.655967334957035
5947,72806,7843,33765,zip,FL,FL,Clearwater,"Tampa-St. Petersburg-Clearwater, FL",Pinellas County,2.3588695941348257
5949,99132,7847,97218,zip,OR,OR,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Multnomah County,4.5997799265242305
5971,86355,7914,64117,zip,MO,MO,Kansas City,"Kansas City, MO-KS",Clay County,4.11837412452054
5972,95839,7916,89143,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,-3.4717909007988554
5975,90762,7920,75209,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,1.1311727126523734
5985,99258,7941,97408,zip,OR,OR,Eugene,"Eugene-Springfield, OR",Lane County,-3.8364614216798256
5987,89943,7944,73118,zip,OK,OK,Oklahoma City,"Oklahoma City, OK",Oklahoma County,9.801146610334746
5989,92344,7952,78248,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,-1.4307675827354442
5990,97839,7955,94705,zip,CA,CA,Berkeley,"San Francisco-Oakland-Berkeley, CA",Alameda County,-0.18523354494837152
5991,74952,7956,38672,zip,MS,MS,Southaven,"Memphis, TN-MS-AR",DeSoto County,7.9203070129220245
5993,84603,7958,60601,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,2.860454844600553
5995,73054,7962,34235,zip,FL,FL,Sarasota,"North Port-Sarasota-Bradenton, FL",Sarasota County,4.607617513333905
5997,399580,7964,33812,zip,FL,FL,Lakeland,"Lakeland-Winter Haven, FL",Polk County,1.6688998329003084
5998,58655,7965,2141,zip,MA,MA,Cambridge,"Boston-Cambridge-Newton, MA-NH",Middlesex County,3.4751010325636975
6003,92348,7976,78252,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,3.6978523839672746
6007,60170,7988,6119,zip,CT,CT,West Hartford,"Hartford-East Hartford-Middletown, CT",Hartford County,4.276149014055056
6010,74377,7993,37416,zip,TN,TN,Chattanooga,"Chattanooga, TN-GA",Hamilton County,5.6505290494171065
6012,69740,7996,28134,zip,NC,NC,Pineville,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,25.43678977647633
6014,65686,8004,19003,zip,PA,PA,Ardmore,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Montgomery County,8.848118162152305
6016,399583,8010,33973,zip,FL,FL,Lehigh Acres,"Cape Coral-Fort Myers, FL",Lee County,15.584283973491942
6017,66062,8011,19809,zip,DE,DE,Wilmington,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",New Castle County,8.758411875542569
6022,72432,8022,33129,zip,FL,FL,Miami,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,7.677403228321947
6024,84419,8029,60173,zip,IL,IL,Schaumburg,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,5.024149916072337
6031,97560,8043,94105,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,-2.9915389817891667
6032,85950,8047,63132,zip,MO,MO,Olivette,"St. Louis, MO-IL",Saint Louis County,1.9411346830418537
6036,71037,8058,30317,zip,GA,GA,Atlanta,"Atlanta-Sandy Springs-Alpharetta, GA",Dekalb County,7.028005447627023
6038,94723,8071,85007,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,10.380163750028824
6039,72639,8078,33483,zip,FL,FL,Delray Beach,"Miami-Fort Lauderdale-Pompano Beach, FL",Palm Beach County,1.7016522611889062
