,RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,Percent Change
0,91982,1,77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,1.3319503992400914
1,91940,3,77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,-0.5904184632436943
2,91733,5,77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1.7204567826762311
3,93144,6,79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,5.5153339351284565
4,62093,7,11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2.503067909806428
5,92593,8,78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,0.4604924032421122
6,62019,9,11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,9.75746895156803
8,91926,11,77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,2.004643330103725
9,84630,12,60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.548484818713429
10,96193,13,90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,11.622926811232222
11,74101,15,37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,-1.8993700676622303
13,61807,17,10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,6.786889400566485
14,62085,18,11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,7.481933085974102
15,62037,19,11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.9128564560694157
16,62018,20,11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.467135616631173
17,70829,21,30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0.609049823653546
18,96025,22,90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,8.030802858467604
19,96817,23,92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,9.790610836294976
20,97771,24,94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,4.772530983288555
21,92036,25,77573,zip,TX,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,3.7760651221671884
24,96107,28,90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.007732982389003
25,61639,29,10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,3.3613944514674055
26,90654,30,75052,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,-2.2155901942564875
27,96239,31,90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,6.592815801253024
28,62025,32,11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,11.318504348781584
29,84620,33,60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,8.165734079603924
33,96368,37,91342,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,4.258616423354526
34,96990,38,92683,zip,CA,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,0.5746280862765804
35,61790,39,10314,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,15.405884810219158
36,62031,40,11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.165321381508427
37,84639,41,60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,6.066342465494614
38,92341,42,78245,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,-3.7044439517372783
40,96882,44,92503,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,1.165025171423585
42,62017,47,11206,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3.8521334034411345
43,62032,48,11221,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.3687076937206344
44,61796,49,10456,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,13.671398924512376
45,96825,50,92345,zip,CA,CA,Hesperia,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,3.490714114696943
46,91968,51,77479,zip,TX,TX,Sugar Land,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,5.195695785699154
47,96546,52,91911,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,3.095958223884656
48,70828,53,30043,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,0.4773744871420184
49,62034,54,11223,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.312509800190025
51,92551,56,78613,zip,TX,TX,Cedar Park,"Austin-Round Rock-Georgetown, TX",Williamson County,-3.592288430687835
52,62040,57,11230,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,4.8230308617398
53,84646,58,60647,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.560516358397079
56,96690,61,92154,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,5.3673362410382355
57,91922,62,77429,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,-1.91388121989179
58,61798,63,10458,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,9.84255209867055
59,96846,64,92376,zip,CA,CA,Rialto,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,4.34296956977956
61,62088,66,11377,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,6.282953436931751
62,93146,67,79938,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,5.177189636936993
63,97023,68,92804,zip,CA,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,6.55914523478966
65,97431,70,93722,zip,CA,CA,Fresno,"Fresno, CA",Fresno County,5.280139267966255
66,97567,71,94112,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,6.113253290141065
67,100179,72,99301,zip,WA,WA,Pasco,"Kennewick-Richland, WA",Franklin County,7.305523072929436
68,62045,73,11235,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,7.231900782898934
69,84633,74,60632,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,5.698356880141616
70,92045,75,77584,zip,TX,TX,Pearland,"Houston-The Woodlands-Sugar Land, TX",Brazoria County,-0.5907953271260066
71,62039,76,11229,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,10.772769573860257
72,98432,77,95823,zip,CA,CA,Sacramento,"Sacramento-Roseville-Folsom, CA",Sacramento County,-3.3233125119872207
73,92271,78,78130,zip,TX,TX,New Braunfels,"San Antonio-New Braunfels, TX",Comal County,-2.1028540224473606
74,84619,79,60617,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,3.4973661002394714
75,67182,80,22193,zip,VA,VA,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,8.157866240683513
76,62043,81,11233,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,4.0803009120569635
77,90769,82,75217,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,5.132039680717531
78,61793,84,10453,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,35.044875863573424
79,69431,85,27587,zip,NC,NC,Wake Forest,"Raleigh-Cary, NC",Wake County,0.031146944869667213
80,89925,87,73099,zip,OK,OK,Yukon,"Oklahoma City, OK",Canadian County,2.607658612998445
81,91889,88,77379,zip,TX,TX,Spring,"Houston-The Woodlands-Sugar Land, TX",Harris County,3.1800164884055078
82,98848,90,96706,zip,HI,HI,Ewa Beach,"Urban Honolulu, HI",Honolulu County,1.5283458374445718
84,74126,92,37042,zip,TN,TN,Clarksville,"Clarksville, TN-KY",Montgomery County,-0.9341410549654899
85,417444,93,85142,zip,AZ,AZ,Queen Creek,"Phoenix-Mesa-Chandler, AZ",Maricopa County,4.427145781003912
86,70810,94,30024,zip,GA,GA,Suwanee,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1.2038252248833985
87,61808,95,10468,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,16.450341970694172
88,93137,96,79928,zip,TX,TX,Horizon City,"El Paso, TX",El Paso County,5.571533372295874
89,97940,97,95035,zip,CA,CA,Milpitas,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,0.0676378229113353
90,84610,99,60608,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.020102789741226
91,62067,100,11355,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,6.053734412442797
92,96888,101,92509,zip,CA,CA,Jurupa Valley,"Riverside-San Bernardino-Ontario, CA",Riverside County,2.513181101687351
93,92598,102,78666,zip,TX,TX,San Marcos,"Austin-Round Rock-Georgetown, TX",Hays County,0.5181611393426848
94,62014,103,11203,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,-0.7559622036747918
96,97328,105,93550,zip,CA,CA,Palmdale,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,8.863241035493381
97,84627,106,60625,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,8.474682754494966
98,61797,107,10457,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,10.668314041450289
99,87074,108,66062,zip,KS,KS,Olathe,"Kansas City, MO-KS",Johnson County,6.3955014411477356
100,96934,109,92592,zip,CA,CA,Temecula,"Riverside-San Bernardino-Ontario, CA",Riverside County,1.8926107750769017
101,84625,110,60623,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.7301929443855455
102,98325,111,95630,zip,CA,CA,Folsom,"Sacramento-Roseville-Folsom, CA",Sacramento County,-2.6669417569734346
104,69816,113,28269,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,4.240790866584819
105,97073,114,92880,zip,CA,CA,Eastvale,"Riverside-San Bernardino-Ontario, CA",Riverside County,-2.7391811012395313
106,97751,115,94544,zip,CA,CA,Hayward,"San Francisco-Oakland-Berkeley, CA",Alameda County,2.3610543887074718
107,96208,116,90706,zip,CA,CA,Bellflower,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,5.105987352885306
108,92520,117,78577,zip,TX,TX,Pharr,"McAllen-Edinburg-Mission, TX",Hidalgo County,8.123118941147652
109,92576,118,78641,zip,TX,TX,Leander,"Austin-Round Rock-Georgetown, TX",Williamson County,1.006373608995747
110,97318,119,93535,zip,CA,CA,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,12.128915914574092
111,91950,120,77459,zip,TX,TX,Missouri City,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2.87822791613418
112,61809,121,10469,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,24.68724907546661
113,61643,122,10029,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1.944862357247353
114,97004,123,92704,zip,CA,CA,Santa Ana,"Los Angeles-Long Beach-Anaheim, CA",Orange County,4.826882043347359
116,62029,125,11218,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,6.347024034335531
117,90638,126,75035,zip,TX,TX,Frisco,"Dallas-Fort Worth-Arlington, TX",Collin County,3.5983797290686153
118,62023,127,11212,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,9.956539351603245
119,61802,128,10462,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,9.1465224425844
120,96364,129,91335,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.3377017862827865
121,69450,130,27610,zip,NC,NC,Raleigh,"Raleigh-Cary, NC",Wake County,4.165387945986924
122,84635,131,60634,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,14.461947550613896
124,97740,133,94533,zip,CA,CA,Fairfield,"Vallejo, CA",Solano County,0.8235515614254612
125,69672,134,28027,zip,NC,NC,Concord,"Charlotte-Concord-Gastonia, NC-SC",Cabarrus County,0.040575158690758145
126,73221,135,34787,zip,FL,FL,Winter Garden,"Orlando-Kissimmee-Sanford, FL",Orange County,3.5374525394129246
127,95315,136,87121,zip,NM,NM,Albuquerque,"Albuquerque, NM",Bernalillo County,6.720059613939862
128,91325,137,76244,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1.011284576535558
129,91732,138,77083,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,1.690088816668024
130,61616,139,10002,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,0.6670915937976104
131,67732,140,23464,zip,VA,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,6.675991638972205
132,91221,141,76063,zip,TX,TX,Mansfield,"Dallas-Fort Worth-Arlington, TX",Tarrant County,1.9623092688722303
134,62087,143,11375,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,9.900962110346427
135,99534,145,98052,zip,WA,WA,Redmond,"Seattle-Tacoma-Bellevue, WA",King County,-2.585605150390398
136,73233,146,34953,zip,FL,FL,Port Saint Lucie,"Port St. Lucie, FL",Saint Lucie County,6.426830508036232
137,72362,147,33024,zip,FL,FL,Pembroke Pines,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,6.811833349563493
139,90612,149,75002,zip,TX,TX,Allen,"Dallas-Fort Worth-Arlington, TX",Collin County,2.026939153248929
140,93123,150,79912,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,3.15981285356192
141,97319,151,93536,zip,CA,CA,Lancaster,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,5.611302457373996
142,96467,152,91709,zip,CA,CA,Chino Hills,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,1.9695547200797994
143,96545,153,91910,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,0.03661531835638281
144,99500,154,98012,zip,WA,WA,Bothell,"Seattle-Tacoma-Bellevue, WA",Snohomish County,2.5479848677384123
145,97721,155,94513,zip,CA,CA,Brentwood,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,2.9472888766817626
148,90764,158,75211,zip,TX,TX,Cockrell Hill,"Dallas-Fort Worth-Arlington, TX",Dallas County,2.4226956590328195
149,94820,159,85225,zip,AZ,AZ,Chandler,"Phoenix-Mesa-Chandler, AZ",Maricopa County,-0.7458570912915264
150,70825,160,30040,zip,GA,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,1.4853907666778
151,97435,161,93727,zip,CA,CA,Fresno,"Fresno, CA",Fresno County,3.5166007643699633
152,95804,162,89108,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,-3.3583478630544388
153,67180,165,22191,zip,VA,VA,Woodbridge,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Prince William County,1.4069206544704356
154,96667,166,92126,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,5.3484001008215305
156,70826,168,30041,zip,GA,GA,Cumming,"Atlanta-Sandy Springs-Alpharetta, GA",Forsyth County,3.6476564643673313
157,91198,169,76028,zip,TX,TX,Burleson,"Dallas-Fort Worth-Arlington, TX",Johnson County,1.6132655786701164
158,70835,170,30052,zip,GA,GA,Loganville,"Atlanta-Sandy Springs-Alpharetta, GA",Walton County,0.9846303453634045
159,93203,171,80013,zip,CO,CO,Aurora,"Denver-Aurora-Lakewood, CO",Arapahoe County,0.5361458044058681
160,62026,172,11215,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3.985626361088591
161,90780,173,75228,zip,TX,TX,Dallas,"Dallas-Fort Worth-Arlington, TX",Dallas County,6.511578614797152
162,66126,174,20002,zip,DC,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,1.9810756736725073
163,86026,175,63376,zip,MO,MO,Saint Peters,"St. Louis, MO-IL",Saint Charles County,0.3326344967297811
164,74242,176,37211,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,-1.689933874195914
165,84340,177,60085,zip,IL,IL,Waukegan,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,6.859867773773454
166,91291,178,76179,zip,TX,TX,Fort Worth,"Dallas-Fort Worth-Arlington, TX",Tarrant County,3.2715608387395125
167,399724,179,77407,zip,TX,TX,Richmond,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,2.9441869955451914
168,84654,180,60657,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,8.412567890650449
169,70832,181,30047,zip,GA,GA,Lilburn,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,1.542262987565569
170,72363,182,33025,zip,FL,FL,Miramar,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,2.5157981718255416
171,61803,183,10463,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,3.956010393999423
172,72530,184,33311,zip,FL,FL,Fort Lauderdale,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,6.168718297047977
173,98930,185,96797,zip,HI,HI,Waipahu,"Urban Honolulu, HI",Honolulu County,7.547291353968748
174,399648,186,83646,zip,ID,ID,Meridian,"Boise City, ID",Ada County,-1.5097726330491898
175,96911,187,92553,zip,CA,CA,Moreno Valley,"Riverside-San Bernardino-Ontario, CA",Riverside County,-0.8791394288871808
176,62020,188,11209,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,5.759208723659525
177,94410,189,84043,zip,UT,UT,Lehi,"Provo-Orem, UT",Utah County,3.408800926338041
178,63776,190,14850,zip,NY,NY,Ithaca,"Ithaca, NY",Tompkins County,11.74478657958071
179,97222,191,93306,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,3.620666500591495
180,93205,192,80015,zip,CO,CO,Centennial,"Denver-Aurora-Lakewood, CO",Arapahoe County,4.40741335352818
181,91744,193,77095,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,3.4309446377985804
182,97167,194,93230,zip,CA,CA,Hanford,"Hanford-Corcoran, CA",Kings County,11.010151326247458
183,70904,195,30127,zip,GA,GA,Powder Springs,"Atlanta-Sandy Springs-Alpharetta, GA",Cobb County,4.963853465278169
184,69823,196,28277,zip,NC,NC,Charlotte,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,2.1600010016596705
185,92125,197,77845,zip,TX,TX,College Station,"College Station-Bryan, TX",Brazos County,4.952005846653401
186,95770,198,89031,zip,NV,NV,North Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,1.173645876483053
187,66705,199,20906,zip,MD,MD,Silver Spring,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Montgomery County,2.996626716078948
189,98411,201,95747,zip,CA,CA,Roseville,"Sacramento-Roseville-Folsom, CA",Placer County,-0.060951206524310575
190,97743,202,94536,zip,CA,CA,Fremont,"San Francisco-Oakland-Berkeley, CA",Alameda County,0.31698549205779947
191,96918,203,92563,zip,CA,CA,Murrieta,"Riverside-San Bernardino-Ontario, CA",Riverside County,1.143439929876796
192,77400,204,45011,zip,OH,OH,Hamilton,"Cincinnati, OH-KY-IN",Butler County,6.895703051114409
193,99142,205,97229,zip,OR,OR,Portland,"Portland-Vancouver-Hillsboro, OR-WA",Washington County,-1.1007871575800467
195,96647,207,92105,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,4.342392934351758
196,84616,208,60614,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,8.834451901329418
197,96590,209,92021,zip,CA,CA,El Cajon,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,4.772665627617593
198,96477,210,91730,zip,CA,CA,Rancho Cucamonga,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,0.738075434442889
199,84622,211,60620,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1.9433889693376263
200,72361,212,33023,zip,FL,FL,Miramar,"Miami-Fort Lauderdale-Pompano Beach, FL",Broward County,5.463471526923413
201,97565,213,94110,zip,CA,CA,San Francisco,"San Francisco-Oakland-Berkeley, CA",San Francisco County,-0.6087698463127691
202,94940,214,85364,zip,AZ,AZ,Yuma,"Yuma, AZ",Yuma County,2.24591796096442
204,62024,217,11213,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,2.9459180715778808
205,78823,218,47906,zip,IN,IN,West Lafayette,"Lafayette-West Lafayette, IN",Tippecanoe County,6.077808218483378
206,97717,219,94509,zip,CA,CA,Antioch,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,-0.8142389560478392
207,97118,220,93065,zip,CA,CA,Simi Valley,"Oxnard-Thousand Oaks-Ventura, CA",Ventura County,3.4605667414439503
208,98378,221,95687,zip,CA,CA,Vacaville,"Vallejo, CA",Solano County,-0.9732375471800536
209,62012,222,11201,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,4.340328620885278
210,97075,223,92882,zip,CA,CA,Corona,"Riverside-San Bernardino-Ontario, CA",Riverside County,0.658370407533662
211,60642,224,7305,zip,NJ,NJ,Jersey City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,6.081099798636886
212,65791,225,19124,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,4.856819520894392
213,97764,226,94558,zip,CA,CA,Napa,"Napa, CA",Napa County,2.9592602422315974
214,97745,227,94538,zip,CA,CA,Fremont,"San Francisco-Oakland-Berkeley, CA",Alameda County,-2.9739874396455224
215,74156,228,37075,zip,TN,TN,Hendersonville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Sumner County,0.44639333138700044
217,97024,230,92805,zip,CA,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,3.560538872187908
218,92350,231,78254,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,1.8411470711798321
219,84641,232,60641,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,5.799350680733266
220,72350,234,33012,zip,FL,FL,Hialeah,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,8.729934610860884
221,72353,235,33015,zip,FL,FL,Country Club,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,8.137132151428892
222,96186,236,90631,zip,CA,CA,La Habra,"Los Angeles-Long Beach-Anaheim, CA",Orange County,4.447218179823658
223,93263,237,80134,zip,CO,CO,Parker,"Denver-Aurora-Lakewood, CO",Douglas County,2.188103152696759
224,72488,238,33186,zip,FL,FL,The Crossings,"Miami-Fort Lauderdale-Pompano Beach, FL",Miami-Dade County,3.3051699220239454
225,71005,239,30281,zip,GA,GA,Stockbridge,"Atlanta-Sandy Springs-Alpharetta, GA",Henry County,-0.5332506443022128
226,69699,240,28078,zip,NC,NC,Huntersville,"Charlotte-Concord-Gastonia, NC-SC",Mecklenburg County,3.11336201232466
227,84640,241,60640,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,7.1310660111356245
228,71871,242,32218,zip,FL,FL,Jacksonville,"Jacksonville, FL",Duval County,1.7854713562135711
229,94748,243,85032,zip,AZ,AZ,Phoenix,"Phoenix-Mesa-Chandler, AZ",Maricopa County,0.2975643855916359
230,72737,244,33647,zip,FL,FL,Tampa,"Tampa-St. Petersburg-Clearwater, FL",Hillsborough County,-0.40049484178761097
231,65133,246,17603,zip,PA,PA,Lancaster,"Lancaster, PA",Lancaster County,7.363281271731258
232,62021,247,11210,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,3.658884218671458
234,95309,249,87114,zip,NM,NM,Albuquerque,"Albuquerque, NM",Bernalillo County,3.929349704604626
235,96007,250,90026,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,3.8200099354687054
236,97792,251,94587,zip,CA,CA,Union City,"San Francisco-Oakland-Berkeley, CA",Alameda County,0.5936861591663267
237,72252,252,32828,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,0.13949220962655065
238,94903,253,85326,zip,AZ,AZ,Buckeye,"Phoenix-Mesa-Chandler, AZ",Maricopa County,2.249678053418609
239,97020,254,92801,zip,CA,CA,Anaheim,"Los Angeles-Long Beach-Anaheim, CA",Orange County,6.0205568342635365
240,62084,255,11372,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,0.3577138944569664
241,73183,256,34711,zip,FL,FL,Clermont,"Orlando-Kissimmee-Sanford, FL",Lake County,-0.25956579378945266
242,98319,257,95624,zip,CA,CA,Elk Grove,"Sacramento-Roseville-Folsom, CA",Sacramento County,0.4802221205594804
243,90665,258,75067,zip,TX,TX,Lewisville,"Dallas-Fort Worth-Arlington, TX",Denton County,2.3124026561613142
245,62118,260,11432,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,6.314219635547732
246,95811,261,89115,zip,NV,NV,Las Vegas,"Las Vegas-Henderson-Paradise, NV",Clark County,-1.9013165481159677
247,61641,262,10027,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,5.147530336133101
248,60499,263,6902,zip,CT,CT,Stamford,"Bridgeport-Stamford-Norwalk, CT",Fairfield County,2.021363388700817
249,91685,265,77036,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,3.9188185634535038
250,65779,266,19111,zip,PA,PA,Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1.878824349891312
252,66843,268,21234,zip,MD,MD,Parkville,"Baltimore-Columbia-Towson, MD",Baltimore County,4.341340460133205
253,60594,269,7087,zip,NJ,NJ,Union City,"New York-Newark-Jersey City, NY-NJ-PA",Hudson County,7.146334480034033
254,97991,270,95123,zip,CA,CA,San Jose,"San Jose-Sunnyvale-Santa Clara, CA",Santa Clara County,0.3800108750157927
255,96656,271,92114,zip,CA,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,13.695474335025953
257,97748,274,94541,zip,CA,CA,Hayward,"San Francisco-Oakland-Berkeley, CA",Alameda County,1.3388227255467693
258,67730,275,23462,zip,VA,VA,Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC",Virginia Beach City,4.835440605804235
259,90666,276,75068,zip,TX,TX,Little Elm,"Dallas-Fort Worth-Arlington, TX",Denton County,2.168948340811663
260,66135,277,20011,zip,DC,DC,Washington,"Washington-Arlington-Alexandria, DC-VA-MD-WV",District of Columbia,4.224745184675743
261,72247,278,32822,zip,FL,FL,Orlando,"Orlando-Kissimmee-Sanford, FL",Orange County,1.5837182017046179
