ZIP Code,Mean Income
601,10969.454545454546
602,13953.0
603,16704.0
606,11263.90909090909
610,15334.545454545454
611,13851.0
612,14874.454545454546
616,10023.272727272728
617,14808.90909090909
622,14577.90909090909
623,17560.454545454544
624,14542.454545454546
627,14462.181818181818
631,8874.454545454546
637,13946.454545454546
638,12618.09090909091
641,11897.636363636364
646,23927.0
647,11792.454545454546
650,13360.636363636364
652,14294.636363636364
653,11138.09090909091
656,13234.818181818182
659,15347.727272727272
660,18316.636363636364
662,15385.636363636364
664,9417.545454545454
667,13845.181818181818
669,10965.454545454546
670,10056.454545454546
674,14670.454545454546
676,11971.727272727272
677,19576.545454545456
678,13787.818181818182
680,13172.0
682,14102.454545454546
683,15330.09090909091
685,11869.545454545454
687,13963.181818181818
688,12481.818181818182
690,20763.363636363636
692,23727.272727272728
693,15724.363636363636
694,15888.833333333334
698,12596.09090909091
703,11919.09090909091
704,11618.90909090909
705,14486.454545454546
707,15605.272727272728
714,14254.454545454546
715,11423.181818181818
716,23010.18181818182
717,14479.0
718,17052.454545454544
719,12427.90909090909
720,12129.0
723,13219.90909090909
725,20695.545454545456
727,27608.0
728,16330.0
729,17788.545454545456
730,16920.272727272728
731,13419.818181818182
735,20939.727272727272
736,18058.090909090908
738,18521.272727272728
739,18389.454545454544
740,14547.0
741,20130.090909090908
745,18333.545454545456
751,14400.272727272728
754,15558.545454545454
757,16149.90909090909
765,15499.363636363636
766,13770.545454545454
767,13818.454545454546
769,15990.272727272728
771,16964.272727272728
772,12466.09090909091
773,19262.636363636364
775,16059.09090909091
777,17568.0
778,30148.545454545456
780,19974.090909090908
782,10763.727272727272
783,11831.545454545454
784,15825.90909090909
786,16110.5
791,17341.727272727272
794,13533.272727272728
795,15577.636363636364
901,36734.0
906,101158.85714285714
907,46566.454545454544
909,24667.18181818182
911,41012.09090909091
912,31452.272727272728
913,21036.090909090908
915,14010.363636363636
917,19311.727272727272
918,31988.545454545456
920,24774.090909090908
921,22684.18181818182
923,17527.363636363636
924,20094.727272727272
925,16458.363636363636
926,37326.181818181816
927,31437.909090909092
949,21507.454545454544
951,16662.0
952,13354.363636363636
953,22285.636363636364
956,18959.18181818182
957,20900.090909090908
959,25196.0
961,25902.81818181818
962,13669.09090909091
965,12357.454545454546
966,45224.72727272727
968,43711.09090909091
969,45682.63636363636
971,23110.454545454544
976,23990.545454545456
979,44284.90909090909
982,21232.272727272728
983,21697.18181818182
985,20345.363636363636
987,25796.090909090908
1001,49256.63636363636
1002,48047.454545454544
1005,49034.818181818184
1007,62109.63636363636
1008,61740.09090909091
1009,63339.27272727273
1010,51402.27272727273
1011,48207.63636363636
1012,46820.36363636364
1013,37571.818181818184
1020,43765.818181818184
1022,47532.72727272727
1026,56747.818181818184
1027,48277.181818181816
1028,52933.27272727273
1029,57866.63636363636
1030,44153.818181818184
1031,29447.090909090908
1032,42964.90909090909
1033,56555.36363636364
1034,56749.09090909091
1035,57550.0
1036,48973.818181818184
1037,71039.63636363637
1038,54187.36363636364
1039,55161.63636363636
1040,39405.454545454544
1050,49085.09090909091
1053,55203.0
1054,74513.72727272728
1056,46852.0
1057,57566.27272727273
1060,55621.818181818184
1062,53517.90909090909
1068,58223.09090909091
1069,41123.09090909091
1070,61472.36363636364
1071,48886.09090909091
1072,54634.454545454544
1073,47194.27272727273
1074,43144.0
1075,58210.63636363636
1077,49010.27272727273
1079,41972.3
1080,46570.0
1081,43492.27272727273
1082,41769.454545454544
1083,29667.0
1084,45057.09090909091
1085,46652.09090909091
1088,44043.09090909091
1089,47405.454545454544
1092,67376.18181818182
1093,107821.0
1094,27961.8
1095,55564.90909090909
1096,57044.818181818184
1098,54056.454545454544
1103,33627.36363636364
1104,34036.181818181816
1105,24325.545454545456
1106,73105.27272727272
1107,24778.727272727272
1108,37840.63636363636
1109,29618.727272727272
1118,56192.27272727273
1119,42661.72727272727
1128,51581.545454545456
1129,47270.818181818184
1151,41551.0
1201,41465.09090909091
1220,36158.72727272727
1222,57957.72727272727
1223,65865.90909090909
1224,37515.6
1225,49931.72727272727
1226,46152.181818181816
1229,27424.428571428572
1230,50367.0
1235,47497.36363636364
1236,53444.181818181816
1237,54197.0
1238,53683.818181818184
1240,55702.0
1242,55602.2
1243,55040.545454545456
1244,23187.333333333332
1245,51793.63636363636
1247,33644.90909090909
1253,52746.09090909091
1254,79460.63636363637
1255,55899.72727272727
1256,48955.63636363636
1257,65933.0
1258,68184.90909090909
1259,59930.545454545456
1260,41551.1
1262,42836.90909090909
1264,61856.454545454544
1266,55660.818181818184
1267,55020.545454545456
1270,71212.54545454546
1301,43883.36363636364
1330,60068.0
1331,41847.09090909091
1337,51866.181818181816
1338,58655.5
1339,56741.454545454544
1340,44613.181818181816
1341,55423.90909090909
1342,63645.454545454544
1343,46769.25
1344,45441.181818181816
1346,49627.09090909091
1347,44923.0
1349,49712.63636363636
1350,42569.90909090909
1351,51824.36363636364
1354,49170.63636363636
1355,61850.0
1360,47591.36363636364
1364,35670.27272727273
1366,52558.63636363636
1367,44793.545454545456
1368,58347.545454545456
1370,45241.63636363636
1373,60150.0
1375,59444.36363636364
1376,38869.72727272727
1378,46448.72727272727
1379,41226.36363636364
1420,45233.0
1430,59750.818181818184
1431,73868.81818181818
1432,59359.09090909091
1434,72009.85714285714
1436,61754.454545454544
1438,47465.5
1440,42473.63636363636
1450,66680.27272727272
1451,129119.27272727272
1452,48857.36363636364
1453,49784.09090909091
1460,68084.18181818182
1462,57899.454545454544
1463,65451.545454545456
1464,68107.54545454546
1468,46804.90909090909
1469,55163.63636363636
1473,75012.45454545454
1474,63881.818181818184
1475,41605.545454545456
1501,51732.454545454544
1503,83729.54545454546
1504,48884.545454545456
1505,70857.36363636363
1506,47986.545454545456
1507,60085.545454545456
1510,53211.63636363636
1515,55208.27272727273
1516,67527.0
1518,36847.63636363636
1519,65178.90909090909
1520,64322.36363636364
1521,54348.27272727273
1522,70350.09090909091
1523,62300.454545454544
1524,47888.0
1525,61645.0
1527,55982.27272727273
1529,55710.545454545456
1531,61269.454545454544
1532,79096.90909090909
1534,58290.181818181816
